uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,ID,FeatureAuthor,FeatureTimestamp,Latitude,Longitude,Northing,Easting,Accuracy,FeatureType,MapSymbol,Source,Note,GC,DateCompleted,Description,Classification,OtherDescription,Picture,geospatialcolumn
1.00005E+18,202030,Stephanie Black,2017-09-18 04:45:29.814 GMT,Stephanie Black,2017-09-18 04:45:29 GMT,202030,Stephanie Black,2017-09-18 07:45:19+03:00,42.13247123,26.13787267,4664844.151,428748.6698,,Mound,Hairy brown circle,TopomapRU 1:50k,3,No,18/09/2017,,,,,POINT(428748.669804 4664844.150912)
1.00005E+18,202031,Stephanie Black,2017-09-18 04:45:47.609 GMT,Stephanie Black,2017-09-18 04:45:53 GMT,202031,Stephanie Black,2017-09-18 07:45:40+03:00,42.130438,26.13644044,4664619.593,428628.0185,,Mound,Hairy brown circle,TopomapRU 1:50k,5,No,18/09/2017,,,,,POINT(428628.018509 4664619.592519)
1.00005E+18,202032,Stephanie Black,2017-09-18 04:46:12.407 GMT,Stephanie Black,2017-09-18 04:46:12 GMT,202032,Stephanie Black,2017-09-18 07:46:01+03:00,42.12939755,26.13655888,4664503.969,428636.6397,,Mound,Hairy brown circle,TopomapRU 1:50k,3,No,18/09/2017,,,,,POINT(428636.639721 4664503.96879)
1.00005E+18,202033,Stephanie Black,2017-09-18 04:46:37.786 GMT,Stephanie Black,2017-09-18 04:46:37 GMT,202033,Stephanie Black,2017-09-18 07:46:26+03:00,42.13043044,26.14329994,4664613.044,429194.9427,,Mound,Hairy brown circle,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(429194.942667 4664613.043508)
1.00005E+18,202034,Stephanie Black,2017-09-18 04:47:05.406 GMT,Stephanie Black,2017-09-18 04:47:05 GMT,202034,Stephanie Black,2017-09-18 07:46:54+03:00,42.12973407,26.14241187,4664536.46,429120.7675,,Mound,Hairy brown circle,TopomapRU 1:50k,2,No,18/09/2017,,,,,POINT(429120.76745 4664536.459657)
1.00003E+18,202237,Lachlan Hanley,2017-09-18 04:48:47.608 GMT,Lachlan Hanley,2017-09-18 04:48:52 GMT,202237,Lachlan Hanley,2017-09-18 07:48:39+03:00,42.62917934,26.02723643,4720095.729,420236.1858,,Mound,Black triangle with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(420236.185815 4720095.729106)
1.00003E+18,202238,Lachlan Hanley,2017-09-18 04:49:36.813 GMT,Lachlan Hanley,2017-09-18 04:49:43 GMT,202238,Lachlan Hanley,2017-09-18 07:49:30+03:00,42.62287955,26.00861751,4719413.909,418701.2775,,Mound,Black triangle with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(418701.277458 4719413.909371)
1.00003E+18,202239,Lachlan Hanley,2017-09-18 04:50:08.740 GMT,Lachlan Hanley,2017-09-18 04:50:08 GMT,202239,Lachlan Hanley,2017-09-18 07:49:56+03:00,42.6192337,26.02779185,4718990.818,420269.0377,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(420269.037704 4718990.818202)
1.00003E+18,202240,Lachlan Hanley,2017-09-18 04:51:10.868 GMT,Lachlan Hanley,2017-09-18 04:51:10 GMT,202240,Lachlan Hanley,2017-09-18 07:51:00+03:00,42.62209795,26.08869449,4719253.276,425267.1364,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(425267.136442 4719253.275875)
1.00005E+18,202035,Stephanie Black,2017-09-18 04:51:34.455 GMT,Stephanie Black,2017-09-18 04:51:42 GMT,202035,Stephanie Black,2017-09-18 07:51:27+03:00,42.12607467,26.06175917,4664200.229,422450.3407,,Mound,Hairy black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(422450.340728 4664200.229174)
1.00005E+18,202036,Stephanie Black,2017-09-18 04:52:05.362 GMT,Stephanie Black,2017-09-18 04:52:05 GMT,202036,Stephanie Black,2017-09-18 07:51:52+03:00,42.12428654,26.05372632,4664009.013,421784.1847,,Mound,Hairy brown circle,TopomapRU 1:50k,1,No,18/09/2017,,,,,POINT(421784.18469 4664009.013131)
